user_id,flags,instruction,category,intent,response
996644,B,question about cancelling order {{Order Number}},ORDER,cancel_order,question about cancelling order {{Order Number}}
553679,BQZ,i have a question about cancelling oorder {{Order Number}},ORDER,cancel_order,i have a question about cancelling oorder {{Order Number}}
948908,BLQZ,i need help cancelling puchase {{Order Number}},ORDER,cancel_order,i need help cancelling puchase {{Order Number}}
794010,BL,I need to cancel purchase {{Order Number}},ORDER,cancel_order,I need to cancel purchase {{Order Number}}
707291,BCELN,"I cannot afford this order, cancel purchase {{Order Number}}",ORDER,cancel_order,"I cannot afford this order, cancel purchase {{Order Number}}"
706733,BI,can you help me cancel order {{Order Number}}?,ORDER,cancel_order,can you help me cancel order {{Order Number}}?
770457,BCLN,"I can no longer afford order {{Order Number}}, cancel it",ORDER,cancel_order,"I can no longer afford order {{Order Number}}, cancel it"
134881,BL,I am trying to cancel purchase {{Order Number}},ORDER,cancel_order,I am trying to cancel purchase {{Order Number}}
187006,BL,I have got to cancel purchase {{Order Number}},ORDER,cancel_order,I have got to cancel purchase {{Order Number}}
614578,BLQ,i need help canceling purchase {{Order Number}},ORDER,cancel_order,i need help canceling purchase {{Order Number}}
975766,BQ,i dont know what to do to cancel order {{Order Number}},ORDER,cancel_order,i dont know what to do to cancel order {{Order Number}}
302735,BL,I have a problem with cancelling purchase {{Order Number}},ORDER,cancel_order,I have a problem with cancelling purchase {{Order Number}}
413176,BL,problem with canceling purchase {{Order Number}},ORDER,cancel_order,problem with canceling purchase {{Order Number}}
574321,BI,can you help me canceling order {{Order Number}}?,ORDER,cancel_order,can you help me canceling order {{Order Number}}?
584709,BLZ,help  me canceling purchase {{Order Number}},ORDER,cancel_order,help  me canceling purchase {{Order Number}}
371326,BIL,can you help me cancel purchase {{Order Number}}?,ORDER,cancel_order,can you help me cancel purchase {{Order Number}}?
497182,BIL,what do I have to do to cancel purchase {{Order Number}}?,ORDER,cancel_order,what do I have to do to cancel purchase {{Order Number}}?
264620,BCL,"I bought the same item twice, cancel order {{Order Number}}",ORDER,cancel_order,"I bought the same item twice, cancel order {{Order Number}}"
256464,BQ,need help with canceling order {{Order Number}},ORDER,cancel_order,need help with canceling order {{Order Number}}
608237,BQ,i want assistance canceling order {{Order Number}},ORDER,cancel_order,i want assistance canceling order {{Order Number}}
529943,BQ,I'm trying to cancel order {{Order Number}},ORDER,cancel_order,I'm trying to cancel order {{Order Number}}
933702,BMQ,i have problems with canceling order {{Order Number}},ORDER,cancel_order,i have problems with canceling order {{Order Number}}
984653,BLZ,assistance with cancelling pucrhase {{Order Number}},ORDER,cancel_order,assistance with cancelling pucrhase {{Order Number}}
122623,BLQ,need help with canceling purchase {{Order Number}},ORDER,cancel_order,need help with canceling purchase {{Order Number}}
114121,BZ,help cnceling order {{Order Number}},ORDER,cancel_order,help cnceling order {{Order Number}}
375045,BQ,i want assistance cancelling order {{Order Number}},ORDER,cancel_order,i want assistance cancelling order {{Order Number}}
335868,BQ,need assistance cancelling order {{Order Number}},ORDER,cancel_order,need assistance cancelling order {{Order Number}}
519223,B,problem with cancelling order {{Order Number}},ORDER,cancel_order,problem with cancelling order {{Order Number}}
449447,BZ,assistnace cancelling order {{Order Number}},ORDER,cancel_order,assistnace cancelling order {{Order Number}}
172598,BQ,have a problem with canceling order {{Order Number}},ORDER,cancel_order,have a problem with canceling order {{Order Number}}
188249,BLQ,i need help with canceling purchase {{Order Number}},ORDER,cancel_order,i need help with canceling purchase {{Order Number}}
205322,BLZ,assistance with cancelling pucrhase {{Order Number}},ORDER,cancel_order,assistance with cancelling pucrhase {{Order Number}}
103308,BQZ,want assistance to cancel order  {{Order Number}},ORDER,cancel_order,want assistance to cancel order  {{Order Number}}
856431,BELQ,i do not know how i can cancel purchase {{Order Number}},ORDER,cancel_order,i do not know how i can cancel purchase {{Order Number}}
967046,BQ,need assistance to cancel order {{Order Number}},ORDER,cancel_order,need assistance to cancel order {{Order Number}}
486191,BIL,can you help me cancel purchase {{Order Number}}?,ORDER,cancel_order,can you help me cancel purchase {{Order Number}}?
